aID,Bag#,Size,Class,Order,Family,Genus,Species,count,Element,Portion,Segment,Side,Fusion,Scan1,Scan2,Scan3,Scan4,FFI.A,FFI.O,FFI.T,Ipcts,CM,Weath1,Weath2,Carn,Rod,Burn,MaxD,CorT,Comments
747,M16-17-24,m,Mammalia,-,-,-,-,2,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,1,"17.38, 17.45",-,
748,M16-17-24,m,Mammalia,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,14.26,-,
749,M16-17-24,u,-,-,-,-,-,4,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,2,"11.94, 14.85, 15.84, 15.14",-,
750,M16-17-24,m,Mammalia,-,-,-,-,1,UN,FB,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,9.53,-,
751,M16-17-24,u,-,-,-,-,-,15,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"12.16, 6.07, 9.30, 8.46, 9.24, 11.10, 15.02, 9.24, 8.06, 7.71, 14.21, 13.36, 8.72, 13.90, 12.48",-,
752,M16-17-127,m,Mammalia,Artiodactyla,Cervidae,Odocoileus,-,1,CL,CO,CO,L,0,CA2,CA3,CA4,-,-,-,-,0,0,3,3,0,0,0,76.94,-,
753,M16-17-127,m,Mammalia,Artiodactyla,-,-,-,1,PHF,DSE,CR,U,3,-,-,-,-,1,1,1,0,0,4,4,0,0,0,31.31,-,
754,M16-17-127,m,Mammalia,-,-,-,-,1,TFR,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,8.02,-,
755,M16-17-127,m,Mammalia,Artiodactyla,Cervidae,Odocoileus,-,1,LTM,CO,CO,L,5,-,-,-,-,-,-,-,0,0,3,3,0,0,0,17.99,-,possible articulation with 0752 (calcaneus)
756,M16-17-127,s,Mammalia,Lagomorpha,Leporidae,Sylvilagus,-,1,TA,DS,CO,R,3,TI4,TI5,-,-,-,-,-,0,0,-,-,0,0,0,16.8,1.08,
757,M16-17-127,u,-,-,-,-,-,11,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"8.84, 12.56, 11.53, 12.63, 11.67, 7.71, 10.45, 11.37, 8.01, 11.70, 9.09",-,
758,M16-17-127,m,Mammalia,-,-,-,-,2,LB,SH,FR,U,4,-,-,-,-,2,2,2,0,0,1,1,0,0,3,"12.63, 13.01","3.6, 4.12",
759,M16-17-127,u,-,-,-,-,-,2,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,2,"9.82, 5.01",-,
760,M16-17-127,m,Mammalia,-,-,-,-,4,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"47.92, 31.10, 28.24, 22.79",-,
761,M16-17-127,u,-,-,-,-,-,2,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,1,"17.61, 19.88",-,
762,M16-17-127,m,Mammalia,-,-,-,-,1,CE,AP,PL,L,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,21.32,-,
763,M16-17-127,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,2,2,2,0,0,1,1,0,0,2,16.16,3.85,
764,M16-17-127,u,-,-,-,-,-,4,UN,FB,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"14.68, 17.17, 15.76, 10.57",-,
765,M16-17-127,s,-,-,-,-,-,2,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"27.24, 16.41","1.34, 1.47",
766,M16-17-127,s,-,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,11.72,-,
767,M16-17-127,u,-,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,1,15.76,-,
768,M16-17-127,u,-,-,-,-,-,7,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"24.14, 16.01, 15.43, 21.35, 19.66, 11.30, 18.39",-,
769,M16-17-47,s,Bivalvia,-,-,-,-,5,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"23.86, 10.01, 8.38, 7.38, 4.10",-,
770,M16-17-120,s,Bivalvia,-,-,-,-,7,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"20.01, 12.68, 6.79, 6.18, 8.74, 7.84, 4.18",-,
771,M16-17-59,s,Bivalvia,-,-,-,-,1,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,12.16,-,
772,M16-17-116,s,Bivalvia,-,-,-,-,21,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"22.19, 19.57, 8.56, 9.90, 8.29, 4.75, 9.38, 11.45, 16.22, 5.42, 5.59, 9.12, 5.54, 8.02, 8.69, 8.25, 11.00, 5.94, 4.79, 7.74, 6.56",-,
773,M16-17-44,s,Bivalvia,-,-,-,-,4,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"7.68, 6.93, 13.48, 5.22",-,
774,M16-17-41,s,Bivalvia,-,-,-,-,5,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"16.86, 16.82, 15.44, 14.30, 18.78",-,
775,M16-17-115,m,Mammalia,-,-,-,-,4,LB,SH,FR,U,4,-,-,-,-,1,2,2,0,0,1,1,0,0,0,"20.87, 33.27, 11.27, 15.53","3.84, 3.30, 3.86, 3.45",
776,M16-17-115,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,2,2,2,0,0,1,1,0,0,3,14.23,2.61,
777,M16-17-115,s,Reptilia,Testudines,-,-,-,1,CAR,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,11.56,-,
778,M16-17-115,u,-,-,-,-,-,2,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"17.79, 10.09",-,
779,M16-17-115,u,-,-,-,-,-,8,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"11.13, 8.20, 12.45, 13.28, 7.30, 7.09, 18.28, 18.55",-,
780,M16-17-16,s,Gastropoda,-,-,-,-,1,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,6.44,-,
781,M16-17-138,s,Bivalvia,-,-,-,-,2,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"15.78, 16.13",-,
782,M16-17-63,s,Gastropoda,-,-,-,-,2,SHELL,CO,CO,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"6.79, 4.94",-,
783,M16-17-63,s,Gastropoda,-,-,-,-,2,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"9.97, 7.90",-,
784,M16-17-41,m,Mammalia,Artiodactyla,Cervidae,Odocoileus,-,1,MR,TW,CR,L,4,-,-,-,-,2,2,2,0,0,1,1,0,0,0,40.57,-,"In situ PM2, PM3, wear comparable to 6 yo mule deer mandible"
785,M16-17-119,s,Bivalvia,-,-,-,-,15,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"59.82, 26.65, 17.93, 18.52, 14.86, 17.21, 15.54,9.73, 14.54, 13.17, 7.20, 6.55, 6.12, 7.79, 5.74",-,
786,M16-17-38,m,Mammalia,Artiodactyla,Cervidae,Odocoileus,-,1,PMUMX,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,16.26,-,
787,M16-17-31,m,Mammalia,Artiodactyla,-,-,-,1,FM,SH,FR,U,4,-,-,-,-,0,1,1,0,0,1,1,0,0,0,67.77,5.01,
788,M16-17-31,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,2,1,1,0,0,1,1,0,0,0,34.02,3.59,
789,M16-17-31,m,Mammalia,-,-,-,-,4,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"15.75, 8.46, 13.79, 15.71",-,
790,M16-17-31,m,Mammalia,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,2,12.22,-,
791,M16-17-31,m,Mammalia,-,-,-,-,1,RB,BL,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,2,22.45,-,
792,M16-17-31,m,Mammalia,-,-,-,-,1,RB,BL,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,20.85,-,
793,M16-17-31,m,Mammalia,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,2,2,2,0,0,1,1,0,0,1,21.31,-,
794,M16-17-31,u,-,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,2,12.51,-,
795,M16-17-31,u,-,-,-,-,-,6,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"12.39, 6.27, 5.81, 16.45, 14.12, 20.73",-,
796,M16-17-125,s,Gastropoda,-,-,-,-,4,SHELL,CO,CO,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"10.70, 9.55, 6.42, 6.91",-,
797,M16-17-125,s,Gastropoda,-,-,-,-,3,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"7.13, 7.22, 7.78",-,
798,M16-17-78,s,Mammalia,Lagomorpha,Leporidae,Lepus,-,1,MUMX,CO,CO,L,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,17.37,-,
799,M16-17-10,s,Aves,-,-,-,-,1,CMC,PR,CO,R,3,-,-,-,-,-,-,-,0,0,-,-,0,0,0,12.38,-,
800,M16-17-10,u,-,-,-,-,-,16,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"7.45, 9.33, 12.23, 11.47, 6.85, 13.17, 10.92, 8.92, 7.76, 8.22, 6.68, 10.86, 7.87, 8.55, 9.16, 7.49",-,
801,M16-17-10,s,-,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,3,12.52,0.51,
802,M16-17-10,m,Mammalia,-,-,-,-,1,IS,US,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,1,27.98,-,
803,M16-17-10,m,Mammalia,-,-,-,-,2,LB,SH,FR,U,4,-,-,-,-,0,1,0,0,0,1,1,0,0,0,"20.07, 24.99","4.94, 3.44",
804,M16-17-10,m,Mammalia,-,-,-,-,1,UN,FB,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,1,25.57,-,
805,M16-17-10,m,Mammalia,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,2,29.89,-,
806,M16-17-10,m,Mammalia,-,-,-,-,2,UN,FB,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"17.16, 22.00",-,
807,M16-17-10,m,Mammalia,-,-,-,-,2,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"21.67, 13.28",-,
808,M16-17-10,s,Reptilia,Testudines,-,-,-,1,CAR,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,9.56,-,
809,M16-17-10,u,-,-,-,-,-,3,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,1,"21.27, 15.61, 5.95",-,
810,M16-17-10,u,-,-,-,-,-,7,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"16.20, 21.19, 8.93, 12.06, 11.14, 17.89, 18.30",-,
811,M16-17-10,u,-,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,8.58,-,
812,M16-17-14,s,Bivalvia,-,-,-,-,3,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"23.70, 9.07, 7.98",-,
813,M16-17-15,s,Bivalvia,-,-,-,-,15,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"30.59, 14.36, 13.30, 18.28, 9.32, 11.50, 12.42, 12.78, 8.09, 8.09, 6.99, 8.69, 4.26, 5.29, 9.96",-,
814,M16-17-96,s,Bivalvia,-,-,-,-,9,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"19.39, 10.16, 9.79, 9.27, 4.72, 3.95, 3.90, 3.50, 3.31",-,
815,M16-17-6,s,Bivalvia,-,-,-,-,3,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"9.08, 8.60, 9.50",-,
816,M16-17-83,m,Mammalia,Artiodactyla,-,-,-,1,TFR,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,15.9,-,
817,M16-17-13,s,-,-,-,-,-,2,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,2,"14.63, 11.41","0.99, 0.94",
818,M16-17-13,s,-,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,12.31,0.66,
819,M16-17-13,m,Mammalia,-,-,-,-,1,SKO,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,1,25.4,-,
820,M16-17-13,m,Mammalia,-,-,-,-,2,LB,SH,FR,U,4,-,-,-,-,1,1,1,0,0,1,1,0,0,2,"21.73, 9.42","2.93, 4.74",
821,M16-17-13,m,Mammalia,-,-,-,-,3,UN,US,FR,-,5,-,-,-,-,1,1,1,0,0,1,1,0,0,2,"12.54, 18.46, 21.05",-,
822,M16-17-13,m,Mammalia,Artiodactyla,-,-,-,1,MT,SH,FR,U,4,-,-,-,-,1,1,1,0,0,1,1,0,0,2,29.51,6.1,
823,M16-17-13,u,-,-,-,-,-,10,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"7.86, 9.56, 13.90, 7.65, 5.32, 14.07, 24.71, 14.65, 9.93, 5.45",-,
824,M16-17-13,m,Mammalia,Artiodactyla,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,1,2,2,0,0,1,1,0,0,0,23.03,4.26,
825,M16-17-13,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,1,1,2,0,0,1,1,0,0,3,12.03,2.76,
826,M16-17-13,m,Mammalia,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,2,2,1,0,0,1,1,0,0,3,16.12,-,
827,M16-17-13,m,Mammalia,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,1,1,2,0,0,1,1,0,0,0,23.49,-,
828,M16-17-13,s,Reptilia,Testudines,-,-,-,1,CAR,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,2,14.8,-,
829,M16-17-13,u,-,-,-,-,-,21,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"7.30, 8.91, 7.82, 9.71, 17.12, 10.38, 6.47, 12.71, 12.80, 9.81, 12.51, 9.78, 9.01, 8.71, 5.77, 8.63, 7.28, 8.81, 13.52, 13.91, 9.35",-,
830,M16-17-123,s,Bivalvia,-,-,-,-,2,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"23.62, 4.46",-,
831,M16-17-124,s,Reptilia,Testudines,-,-,-,9,CAR,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"13.56, 27.72, 14.97, 15.27, 9.32, 13.63, 10.65, 10.89, 17.48",-,
832,M16-17-124,u,-,-,-,-,-,11,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"12.18, 5.22, 5.34, 5.37, 5.75, 18.39, 6.70, 4.74, 4.84, 9.08, 6.41",-,
833,M16-17-124,u,-,-,-,-,-,16,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"9.59, 5.49, 8.32, 8.13, 3.63, 4.74, 8.85, 9.36, 5.31, 8.08, 8.27, 9.63, 6.14, 6.75, 6.72, 10.95",-,
834,M16-17-124,s,-,-,-,-,-,1,CP,CO,CO,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,5.3,-,
835,M16-17-124,s,Mammalia,Lagomorpha,Leporidae,-,-,1,PHU,DS,CO,U,3,-,-,-,-,-,-,-,0,0,-,-,0,0,2,7.52,0.63,
836,M16-17-124,m,Mammalia,-,-,-,-,1,HM,SH,FR,R,4,-,-,-,-,2,2,2,0,0,5,5,0,0,0,30.27,2.96,
837,M16-17-124,s,Mammalia,-,-,-,-,1,RD,PR,CO,R,3,-,-,-,-,-,-,-,0,0,-,-,0,0,0,16.44,1.74,comparable to raccoon
838,M16-17-53,s,Reptilia,Testudines,-,-,-,1,CAR,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,12.84,-,
839,M16-17-53,u,-,-,-,-,-,2,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"7.16, 13.08",-,
840,M16-17-53,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,1,2,2,0,0,1,1,0,0,1,31.14,5.66,
841,M16-17-53,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,1,2,2,0,0,1,1,0,0,3,39.21,4.28,
842,M16-17-53,m,Mammalia,-,-,-,-,2,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"16.61, 15.52",-,
843,M16-17-53,m,Mammalia,-,-,-,-,3,LB,SH,FR,U,4,-,-,-,-,1,1,2,0,0,1,1,0,0,0,"20.34, 26.29, 26.82","1.38, 3.09, 3.43",
844,M16-17-53,u,-,-,-,-,-,5,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,1,"14.65, 12.06, 11.24, 23.58, 11.24",-,
845,M16-17-123,m,Mammalia,-,-,-,-,1,TFR,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,10.92,-,
846,M16-17-107,s,Bivalvia,-,-,-,-,3,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"14.20, 5.29, 4.55",-,
847,M16-17-39,s,Bivalvia,-,-,-,-,1,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,12.68,-,
848,M16-17-97,s,Gastropoda,-,-,-,-,6,SHELL,CO,CO,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"5.37, 8.06, 6.25, 6.45, 6.10, 6.55",-,
849,M16-17-165,m,Mammalia,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,12,-,
850,M16-17-165,m,Mammalia,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,2,16.73,-,
851,M16-17-60,m,Mammalia,Artiodactyla,Cervidae,Odocoileus,-,1,PMUMX,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,16.95,-,
852,M16-17-92,s,Mammalia,Lagomorpha,Leporidae,Sylvilagus,-,1,CL,CO,CO,R,3,CA1,CA2,-,-,-,-,-,0,0,-,-,0,0,0,19.99,-,
853,M16-17-92,m,Mammalia,-,-,-,-,2,LB,SH,FR,U,0,-,-,-,-,2,1,2,0,0,1,1,0,0,0,"54.18, 22.86",-,visible epiphyseal surfaces
854,M16-17-92,m,Mammalia,-,-,-,-,1,MT,SH,FR,U,4,-,-,-,-,2,2,2,0,0,1,1,0,0,3,11.35,4.39,
855,M16-17-92,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,1,0,1,0,0,1,1,0,0,0,35.85,4.08,
856,M16-17-92,s,Reptilia,Testudines,-,-,-,1,CAR,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,10.39,-,
857,M16-17-92,s,-,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,29.47,2.27,
858,M16-17-92,s,-,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,3,17.34,1.4,
859,M16-17-92,s,-,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,1,19.11,1.1,
860,M16-17-92,s,-,-,-,-,-,2,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"16.59, 12.15","2.04, 1.04",
861,M16-17-92,m,Mammalia,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,17.57,-,
862,M16-17-92,m,Mammalia,-,-,-,-,3,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"18.94, 24.27, 29.75",-,
863,M16-17-92,u,-,-,-,-,-,3,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,1,"14.27, 11.71, 13.63",-,
864,M16-17-92,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,1,0,1,0,0,-,-,0,0,3,11.13,3.07,
865,M16-17-92,u,-,-,-,-,-,16,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"9.73, 13.81, 9.62, 15.64, 14.15, 18.14, 7.96, 7.80, 8.45, 10.89, 8.43, 4.75, 7.25, 7.54, 6.54, 5.95",-,
866,M16-17-16,m,Mammalia,Artiodactyla,-,-,-,2,TFR,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"13.75, 11.11",-,
867,M16-17-16,m,Mammalia,-,-,-,-,2,TFR,US,FR,U,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"11.23, 11.65",-,
868,M16-17-117,s,Gastropoda,-,-,-,-,5,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"7.89, 8.36, 8.35, 6.59, 8.02",-,
869,M16-17-18,m,Mammalia,Artiodactyla,-,-,-,1,MP,DSE,FR,U,4,-,-,-,-,-,-,-,1,0,3,3,0,0,2,21.03,-,
870,M16-17-18,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,1,1,2,0,1,1,1,2,0,0,53.71,4.15,
871,M16-17-18,u,-,-,-,-,-,6,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"14.70, 16.54, 11.22, 12.45, 7.69, 12.65",-,
872,M16-17-18,m,Mammalia,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,12.99,-,
873,M16-17-18,m,Mammalia,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,2,15.9,-,
874,M16-17-18,m,Mammalia,-,-,-,-,1,RB,BL,FR,U,4,-,-,-,-,2,2,2,0,0,1,1,0,0,0,19.88,-,
875,M16-17-18,s,-,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,3,16.53,0.97,
876,M16-17-18,m,Mammalia,-,-,-,-,1,SKO,US,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,16.44,-,"maxillary ormandibular fragment, tooth root surface"
877,M16-17-18,s,Reptilia,Testudines,-,-,-,2,CAR,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"9.43, 28.87",-,
878,M16-17-18,m,Mammalia,-,-,-,-,1,UN,US,FR,-,5,-,-,-,-,0,0,1,0,0,1,1,0,0,0,36.79,-,
879,M16-17-18,u,-,-,-,-,-,8,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"12.49, 25.55, 12.01, 19.13, 19.93, 14.30, 9.01, 19.34",-,
880,M16-17-73,m,Mammalia,Artiodactyla,Cervidae,Odocoileus,-,1,MR,TW,CR,R,4,DN3,-,-,-,-,-,-,0,0,1,1,2,0,0,78.71,-,"includes erupting adult PM2, PM3, PM4, crowns just barely above alveolar surface. 1-2 years old based on comparative mule deer mandibles."
881,M16-17-73,m,Mammalia,Artiodactyla,Cervidae,Odocoileus,-,1,M2MX,CO,CO,R,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,29.81,-,Includes some maxillary bone
882,M16-17-73,s,Mammalia,Lagomorpha,Leporidae,Sylvilagus,-,1,MR,TW,FR,L,4,DN2,-,-,-,-,-,-,0,0,-,-,0,0,0,19.18,-,"Includes PM4, M1, M2"
883,M16-17-73,m,Mammalia,Artiodactyla,Cervidae,Odocoileus,-,1,RD,PR,CO,L,3,RA1,RA2,-,-,0,0,1,0,0,1,1,0,0,0,59.59,4.1,
884,M16-17-73,m,Mammalia,Artiodactyla,-,-,-,1,CE,AP,AL,R,5,-,-,-,-,-,-,-,0,0,-,-,1,0,0,27.86,-,"looks like CE1 or 2, but does not match those from deer or pronghorn"
885,M16-17-73,u,-,-,-,-,-,9,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"6.62, 10.41, 14.25, 3.52, 5.49, 6.65, 10.45, 9.13, 7.32",-,
886,M16-17-73,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,2,2,2,0,0,2,2,0,0,3,27.92,4.89,
887,M16-17-73,m,Mammalia,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,2,2,1,0,0,1,1,0,0,2,23.76,5.65,
888,M16-17-73,s,-,-,-,-,-,2,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"29.02, 16.83","2.28, 1.76",
889,M16-17-73,m,Mammalia,-,-,-,-,3,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"27.40, 20.34, 30.62",-,
890,M16-17-73,u,-,-,-,-,-,3,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"10.03, 17.16, 31.60",-,
891,M16-17-13,s,Gastropoda,-,-,-,-,1,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,6.68,-,
892,M16-17-122,s,Gastropoda,-,-,-,-,1,SHELL,CO,CO,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,6.45,-,
893,M16-17-122,s,Gastropoda,-,-,-,-,10,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"13.44, 5.97, 2.35, 8.83, 8.14, 3.20, 3.90, 6.09, 8.23, 9.38",-,
894,M16-17-5,m,Mammalia,Artiodactyla,-,-,-,1,LB,US,FR,U,4,-,-,-,-,2,2,2,0,0,1,1,1,0,0,50.89,11.02,
895,M16-17-5,m,Mammalia,Artiodactyla,-,-,-,1,TA,SH,FR,U,4,-,-,-,-,1,1,0,1,0,1,1,0,0,0,46.25,4.4,
896,M16-17-5,m,Mammalia,-,-,-,-,2,LB,SH,FR,U,4,-,-,-,-,1,1,1,0,0,1,1,0,0,0,"41.38, 31.67","3.89, 2.93",
897,M16-17-5,u,-,-,-,-,-,14,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,3,"6.27, 12.41, 8.28, 10.31, 5.35, 5.42, 8.24, 9.57, 6.17, 8.49, 6.41, 8.17, 8.33, 6.62",-,
898,M16-17-5,s,-,-,-,-,-,1,LB,SH,FR,U,4,-,-,-,-,-,-,-,0,0,-,-,0,0,2,11.46,1.31,
899,M16-17-5,u,-,-,-,-,-,2,UN,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"10.40, 19.34",-,
900,M16-17-13,s,Bivalvia,-,-,-,-,3,SHELL,US,FR,-,5,-,-,-,-,-,-,-,0,0,-,-,0,0,0,"9.53, 11.49, 8.24",-,
